Strategy,Chinook_BB_FA_0.3,Chinook_LFR_FA_0.3,Chinook_LFR_SP_1.3,Chinook_LFR_SU_1.3,Chinook_LFR-Upper_Pitt_SU_1.3,Chinook_Maria_Slough_SU_0.3,Chum_LFR,Coho_BB,Coho_LFR,Coho_Lillooet,Pink_FR,Sockeye_Chilliwack_ES,Sockeye_Cultus_Late,Sockeye_Harrison_Down_Late(Big_Silver),Sockeye_Harrison_River,Sockeye_Harrison_Up_Late(Weaver),Sockeye_Lillooet/Harrison_Late(Birk),Sockeye_Pitt_ES,Sockeye_Widgeon_River
BSL,27.055555555555557,40.65217391304348,36.90909090909091,39,28.235294117647058,31.75,40.45454545454545,25,32.5,33.25,45.476190476190474,40.78947368421053,13.714285714285714,42.111111111111114,42.89473684210526,26.473684210526315,30.789473684210527,45.111111111111114,22.77777777777778
S01,11.165,9.556997282608695,11.51390625,10.641640624999999,8.661084558823529,11.548796874999999,9.896249999999998,9.594921874999999,9.81298828125,11.688359375,7.842083333333332,9.218470394736842,9.038333333333332,9.187864583333333,9.475559210526315,12.00972039473684,9.73264802631579,7.404565972222222,7.947309027777777
S02,11.49406862182353,7.860530299181819,9.1912499955,7.596666662947368,8.5104166625,10.590740735555556,9.17503967804762,13.373511898214286,12.40089285107143,11.817321422785716,5.446666664,6.007352938235295,4.668571426285714,6.04740195782353,6.928480388764706,7.451342588944445,6.007352938235295,6.5104687468125,4.405392154705883
S03,10.768235294117646,10.574488636363636,9.470812500000001,7.4936842105263155,7.3096875,9.8875,9.352767857142856,12.288749999999999,11.44125,13.687125000000002,8.86696875,7.552720588235294,5.871964285714285,7.926617647058824,8.038786764705883,8.1925,8.337904411764706,6.753515625,5.982352941176471
S04,14.900588235294116,11.608727272727272,10.41,8.875894736842104,10.930499999999999,11.373888888888889,12.293714285714286,17.58133333333333,15.49933333333333,13.972533333333333,8.5362,9.103647058823528,8.228857142857143,8.654588235294117,10.41,9.716,9.797647058823529,7.72075,6.327647058823529
S05,11.651470588235293,12.636363636363637,9.1045,7.023157894736841,7.036874999999999,9.845833333333331,8.50547619047619,13.155357142857142,8.803333333333333,10.673214285714286,6.949999999999999,5.110294117647058,3.3012499999999996,4.29264705882353,6.949999999999999,5.791666666666667,6.949999999999999,8.470312499999999,5.927941176470588
S06,14.625,11.517187499999999,9.831249999999999,7.61360294117647,7.834821428571428,8.912109375,12.777631578947368,17.71875,15.669642857142856,14.906249999999998,8.734375,7.799999999999999,5.388157894736842,7.3125,8.2875,9.826171875,10.48125,7.799999999999999,5.85
S07,11.373333328,5.822063489333332,4.863596488947368,4.2255092572777775,3.2698333317999997,5.728480389470588,6.43304166365,12.033392851499999,6.702142854,5.7374404734999995,4.826184208263157,5.375677080812499,6.0420833305,4.176145831375,5.2868229141875,4.886979164375,5.242395830875,5.375677080812499,4.975833331
S08,15.294117647058824,13.36931818181818,9.75,7.141447368421052,8.2265625,11.149305555555555,10.949404761904763,17.120535714285715,13.541666666666668,14.21875,9.75,9.797794117647058,10.359375,7.408088235294118,10.753676470588236,9.319852941176471,9.797794117647058,11.231617647058824,9.319852941176471
S09,9.362152777777778,8.079107142857143,6.193552631578949,5.553819444444445,5.611691176470589,5.880514705882354,6.3408750000000005,10.649732142857143,7.956696428571429,9.930961538461538,5.862828947368421,5.426875000000001,3.7281578947368423,5.462578125,6.140937500000001,6.676484375,6.9978125,8.890078125,5.242058823529412
S10,10.403645828125,9.15520832875,7.953009255277778,7.833333329411766,8.433888884666667,8.3229166625,8.585745609736843,14.597115377307693,11.889880946428573,11.6520833275,6.843287033611112,5.82604166375,5.256578944736842,5.548611108333334,6.866406246562501,7.49062499625,8.9471354121875,8.655833329,5.2018229140625
S11,9.96470588235294,10.118181818181817,8.75,7.810526315789472,9.493749999999999,9.1,7.3999999999999995,11.999999999999998,12.25,12.05,5.845,7.699999999999999,5.494999999999999,7.617647058823529,7.777777777777777,7.855555555555554,9.838888888888889,9.923529411764704,5.5588235294117645
S12,18.931627866,17.90546462257143,17.108552637473686,15.192515437333334,15.761338981125,16.389705887999998,13.0605468795,16.953373021714285,16.868322655384617,17.810964215538462,13.938416285666667,14.229546445875,11.480381948400002,11.407823354625,13.0605468795,15.519477001875,15.317925352500001,13.181477869125,12.216401148000001
S13,25.689394804125,20.90965702768421,21.509750990823527,18.472307300625,20.5744272322,22.682275010999998,18.4436680645,25.28435417892857,23.263871806153848,23.0259458445,17.269459383375,12.738732228400002,11.493880098166667,13.845025006714286,14.3425294514,16.679491119199998,14.663288896,16.3587316746,12.6728619853125
ALL,25.505993328941177,23.268126716800005,22.05600537777778,19.657485304470587,23.086883890000003,23.94994497,20.895162989473686,27.61795456,26.02461102769231,26.179519426666666,18.885807162352943,19.792867434666668,16.24371801094737,18.457999630933337,18.642119328,21.72612425386667,19.976987131733335,18.901037652000003,17.058148404705886
S15,-5.533333333333333,-4,-4.0625,-4.666666666666667,-4.285714285714286,-3.5714285714285716,-8.9375,-7.333333333333333,-7.75,-5.3,-6.642857142857143,-7.538461538461538,-3,-9.076923076923077,-6.769230769230769,-3.3076923076923075,-4.461538461538462,-7.714285714285714,-5.571428571428571
