"Var1","Freq"
"Chinook_BB_FA_0.3",18
"Chinook_LFR_FA_0.3",23
"Chinook_LFR_SP_1.3",22
"Chinook_LFR_SU_1.3",20
"Chinook_LFR-Upper_Pitt_SU_1.3",17
"Chinook_Maria_Slough_SU_0.3",20
"Chum_LFR",22
"Coho_BB",16
"Coho_LFR",16
"Coho_Lillooet",16
"Pink_FR",21
"Sockeye_Chilliwack_ES",19
"Sockeye_Cultus_Late",21
"Sockeye_Harrison_Down_Late(Big_Silver)",18
"Sockeye_Harrison_River",19
"Sockeye_Harrison_Up_Late(Weaver)",19
"Sockeye_Lillooet/Harrison_Late(Birk)",19
"Sockeye_Pitt_ES",18
"Sockeye_Widgeon_River",18
