Conservation_Unit,S01_lower,S01_upper,S01_best_guess,S02_lower,S02_upper,S02_best_guess,S03_lower,S03_upper,S03_best_guess,S04_lower,S04_upper,S04_best_guess,S05_lower,S05_upper,S05_best_guess,S06_lower,S06_upper,S06_best_guess,S07_lower,S07_upper,S07_best_guess,S08_lower,S08_upper,S08_best_guess,S09_lower,S09_upper,S09_best_guess,S10_lower,S10_upper,S10_best_guess,S11_lower,S11_upper,S11_best_guess,S12_1.9.10_lower,S12_1.9.10_upper,S12_1.9.10_best_guess,S13_2.6_lower,S13_2.6_upper,S13_2.6_best_guess,ALL_lower,ALL_upper,ALL_best_guess
Chinook_BB_FA_0.3,8.72265625,11.048697916666667,11.165,10.212499995,12.134852935235296,11.49406862182353,8.973529411764705,12.039485294117647,10.768235294117646,12.042941176470586,15.308823529411763,14.900588235294116,10.833823529411763,12.060294117647057,11.651470588235293,10.48125,15.35625,14.625,7.99687499625,11.8620312444375,11.373333328,14.577205882352942,15.294117647058824,15.294117647058824,7.934027777777779,9.108263888888889,9.362152777777778,9.446510411937501,11.235937494375001,10.403645828125,7.617647058823529,10.58235294117647,9.96470588235294,15.479166672000002,20.335375824000003,18.931627866,22.1238099065625,24.142876053374998,25.689394804125,24.36878343529412,25.587222607058827,25.505993328941177
Chinook_LFR_FA_0.3,8.677146739130434,9.587336956521739,9.556997282608695,8.200946965681819,9.129356056136364,7.860530299181819,7.9453125,11.556818181818183,10.574488636363636,9.148181818181817,12.460454545454544,11.608727272727272,10.424999999999999,12.320454545454544,12.636363636363637,7.4953125,12.065624999999999,11.517187499999999,3.384920633333333,6.600595235,5.822063489333332,9.860795454545455,13,13.36931818181818,5.630892857142857,8.378333333333334,8.079107142857143,7.0578333298,10.48687499475,9.15520832875,5.504545454545454,10.181818181818182,10.118181818181817,13.267857147428574,19.256820443142857,17.90546462257143,16.857958780105264,22.248164484473687,20.90965702768421,20.886078136000002,22.957424728000003,23.268126716800005
Chinook_LFR_SP_1.3,8.88125,11.13328125,11.51390625,8.54445832915,9.735916661900001,9.1912499955,8.10421875,9.407250000000001,9.470812500000001,9.1261,9.334299999999999,10.41,8.757,8.86125,9.1045,8.003124999999999,10.440625,9.831249999999999,4.339824559368421,5.686666664,4.863596488947368,9.953125,10.359375,9.75,5.652368421052632,6.4340789473684215,6.193552631578949,7.287175922277778,9.247685180555557,7.953009255277778,6.264999999999999,7.735,8.75,14.596582607368422,17.27828034221053,17.108552637473686,19.771180891941178,21.348023539764707,21.509750990823527,20.329883217777777,22.554662890666666,22.05600537777778
Chinook_LFR_SU_1.3,8.37375,9.664703124999999,10.641640624999999,6.915833329947368,8.456666662526317,7.596666662947368,7.092236842105263,8.999111842105263,7.4936842105263155,7.6705263157894725,8.583684210526314,8.875894736842104,7.023157894736841,6.584210526315789,7.023157894736841,6.667279411764705,8.602941176470589,7.61360294117647,4.2255092572777775,5.212777775333333,4.2255092572777775,7.99671052631579,7.911184210526315,7.141447368421052,5.395138888888889,4.919097222222223,5.553819444444445,7.911666662705883,8.61666666235294,7.833333329411766,6.005263157894737,7.036842105263157,7.810526315789472,13.436776625,15.300009650333333,15.192515437333334,16.066611466125,18.300471883874998,18.472307300625,18.235972937411766,19.616870665411763,19.657485304470587
Chinook_LFR-Upper_Pitt_SU_1.3,6.813933823529412,9.030514705882352,8.661084558823529,6.2551562469375,10.2550520783125,8.5104166625,5.164453125,8.8590234375,7.3096875,6.723125,10.930499999999999,10.930499999999999,5.950937499999999,6.515624999999999,7.036874999999999,4.700892857142857,8.618303571428571,7.834821428571428,2.3220555544666666,5.354944441933333,3.2698333317999997,8.2265625,8.6328125,8.2265625,4.838823529411765,5.578088235294119,5.611691176470589,7.856833329400001,9.987499995,8.433888884666667,4.8125,8.399999999999999,9.493749999999999,13.866753477000001,16.890028217625,15.761338981125,18.787338897999998,21.8574650106,20.5744272322,20.152476218,25.330842698,23.086883890000003
Chinook_Maria_Slough_SU_0.3,8.72265625,12.455953125,11.548796874999999,8.321296292222222,11.9145833275,10.590740735555556,6.885937500000001,11.3,9.8875,10.332888888888888,12.91611111111111,11.373888888888889,8.880555555555555,8.6875,9.845833333333331,7.083984375,9.826171875,8.912109375,5.561225487588235,6.564754898882352,5.728480389470588,10.246527777777777,11.375,11.149305555555555,4.872426470588236,6.149338235294119,5.880514705882354,8.6142187456875,9.7794270784375,8.3229166625,5.833333333333333,9.527777777777777,9.1,13.08900123,16.958792898,16.389705887999998,19.3830350094,22.8655661222,22.682275010999998,19.63463957,24.942465212000002,23.94994497
Chum_LFR,10.054843749999998,9.61078125,9.896249999999998,7.2622222186666665,9.564087296904763,9.17503967804762,7.324821428571428,10.89642857142857,9.352767857142856,9.980380952380951,12.921619047619048,12.293714285714286,7.181666666666667,7.512619047619047,8.50547619047619,9.429276315789474,12.585197368421051,12.777631578947368,6.57520833025,7.4637499965,6.43304166365,11.68452380952381,12.071428571428571,10.949404761904763,6.3408750000000005,6.5979375000000005,6.3408750000000005,8.130175434526317,8.410526311578948,8.585745609736843,7.166666666666665,7.566666666666666,7.3999999999999995,11.835112851300002,14.3504774355,13.0605468795,16.228900470833334,19.8183513985,18.4436680645,19.768641158736845,21.29489654231579,20.895162989473686
Coho_BB,6.32392578125,9.594921874999999,9.594921874999999,7.7809523771428575,14.589285707142857,13.373511898214286,9.3225,13.559999999999999,12.288749999999999,12.491999999999999,18.275333333333332,17.58133333333333,10.424999999999999,14.148214285714285,13.155357142857142,8.71875,19.968749999999996,17.71875,6.600595235,12.8457738035,12.033392851499999,14.21875,17.991071428571427,17.120535714285715,8.201517857142857,10.445714285714287,10.649732142857143,11.626474353153846,16.645833325,14.597115377307693,6.749999999999999,13,11.999999999999998,13.866753477000001,18.75006201042857,16.953373021714285,19.638333342857145,26.02079167928571,25.28435417892857,24.41229912,29.5906656,27.61795456
Coho_LFR,8.94072265625,11.12138671875,9.81298828125,9.726190471428573,14.346130945357144,12.40089285107143,9.110625,13.559999999999999,11.44125,11.335333333333331,15.730666666666666,15.49933333333333,6.949999999999999,9.266666666666666,8.803333333333333,11.752232142857144,17.236607142857142,15.669642857142856,5.07738095,8.12380952,6.702142854,12.458333333333334,13.541666666666668,13.541666666666668,7.548660714285714,7.7526785714285715,7.956696428571429,11.509404756142857,12.841071422142857,11.889880946428573,8.75,12.5,12.25,14.38768697076923,17.86057692923077,16.868322655384617,19.298439111923077,24.585682704230766,23.263871806153848,23.634595729230774,26.290168283076927,26.02461102769231
Coho_Lillooet,10.59802734375,11.906425781249999,11.688359375,8.899464281357144,13.130357136428572,11.817321422785716,9.3225,15.33975,13.687125000000002,11.335333333333331,14.712799999999998,13.972533333333333,8.191071428571428,10.673214285714286,10.673214285714286,11.25,16.312499999999996,14.906249999999998,5.229702378499999,6.8544642824999995,5.7374404734999995,12.767857142857142,14.799107142857144,14.21875,7.382307692307693,10.062788461538464,9.930961538461538,11.208194438833333,13.594097215416667,11.6520833275,8.6,13.599999999999998,12.05,16.024906522615385,19.646634622153847,17.810964215538462,17.12626320275,23.77056598375,23.0259458445,19.044881165333333,27.675491965333336,26.179519426666666
Pink_FR,7.842083333333332,9.005104166666666,7.842083333333332,4.4254166645,7.863624996150001,5.446666664,5.30746875,9.8521875,8.86696875,6.3153999999999995,10.132399999999999,8.5362,5.9075,7.645,6.949999999999999,7.515625,11.171875,8.734375,3.741228068421053,6.360087716315789,4.826184208263157,9.546875,10.96875,9.75,5.111184210526316,6.4340789473684215,5.862828947368421,5.437638886166667,8.692824069722223,6.843287033611112,4.6899999999999995,6.964999999999999,5.845,13.436776625,13.723427859666668,13.938416285666667,15.3363109449375,17.441294800125,17.269459383375,18.27658757647059,19.170109635764707,18.885807162352943
Sockeye_Chilliwack_ES,7.712664473684209,8.667565789473683,9.218470394736842,4.00490195882353,6.608088232058823,6.007352938235295,4.71110294117647,8.15095588235294,7.552720588235294,5.8377647058823525,9.185294117647057,9.103647058823528,4.088235294117647,4.905882352941176,5.110294117647058,5.3625,8.531249999999998,7.799999999999999,3.5097395816874997,5.3312499975,5.375677080812499,8.602941176470589,10.036764705882353,9.797794117647058,4.49859375,5.533984375,5.426875000000001,5.076979164125,6.866406246562501,5.82604166375,4.122222222222223,6.8055555555555545,7.699999999999999,11.68999566375,12.97992621975,14.229546445875,10.9058211164,13.8384788956,12.738732228400002,15.420024629333334,18.872268949333336,19.792867434666668
Sockeye_Cultus_Late,6.280312499999999,8.639583333333333,9.038333333333332,2.2046031735238096,5.349404759285714,4.668571426285714,2.5425,5.993035714285714,5.871964285714285,3.7343809523809526,8.394095238095238,8.228857142857143,1.0425,3.4749999999999996,3.3012499999999996,2.694078947368421,5.1957236842105265,5.388157894736842,3.4830833317,6.6818333302,6.0420833305,6.296875,10.5625,10.359375,1.5032894736842106,4.449736842105263,3.7281578947368423,3.749692980578948,6.132675435526316,5.256578944736842,1.8549999999999998,5.53,5.494999999999999,8.965017364200001,11.8028645874,11.480381948400002,7.064344910833333,15.274259266666666,11.493880098166667,12.173703654736844,18.351404016842107,16.24371801094737
Sockeye_Harrison_Down_Late(Big_Silver),7.753472222222221,9.226631944444444,9.187864583333333,4.205147056764706,6.207598036176471,6.04740195782353,5.608455882352941,8.225735294117648,7.926617647058824,7.144117647058824,9.389411764705882,8.654588235294117,3.8838235294117642,4.29264705882353,4.29264705882353,5.60625,8.531249999999998,7.3125,2.7989062486875,3.9095833315,4.176145831375,8.602941176470589,8.125,7.408088235294118,5.034140625,5.034140625,5.462578125,4.971555553066667,6.436388885666666,5.548611108333334,5.188235294117647,7.205882352941177,7.617647058823529,10.117892798625,11.730305993625,11.407823354625,10.457412505071428,13.992312506785714,13.845025006714286,15.189875008000001,17.721520842666667,18.457999630933337
Sockeye_Harrison_River,8.44720394736842,9.365378289473684,9.475559210526315,4.805882350588235,7.208823525882353,6.928480388764706,5.421507352941177,8.225735294117648,8.038786764705883,7.3482352941176465,10.532470588235293,10.41,5.110294117647058,6.541176470588235,6.949999999999999,5.3625,9.75,8.2875,3.9540104148124997,5.731093747312499,5.2868229141875,9.797794117647058,10.753676470588236,10.753676470588236,4.320078125,6.49796875,6.140937500000001,5.076979164125,7.9067708293750005,6.866406246562501,4.8999999999999995,8.166666666666666,7.777777777777777,10.924099396125001,12.576822921,13.0605468795,11.913922227999999,15.121516674,14.3425294514,16.110473493333334,18.411969706666667,18.642119328
Sockeye_Harrison_Up_Late(Weaver),8.263569078947368,13.038075657894737,12.00972039473684,3.2150462947222227,9.645138884166666,7.451342588944445,5.1203125,10.4171875,8.1925,6.747222222222221,11.566666666666666,9.716,3.281944444444444,6.177777777777778,5.791666666666667,5.484375,12.111328125,9.826171875,1.9992187490625,6.4419270803124995,4.886979164375,8.363970588235295,9.558823529411764,9.319852941176471,4.64140625,7.033515625000001,6.676484375,5.2850520806875005,9.15520832875,7.49062499625,4.511111111111111,7.972222222222222,7.855555555555554,12.173719622250001,18.663682732125,15.519477001875,12.601263894999999,18.32911112,16.679491119199998,18.181820085333335,23.935560618666667,21.72612425386667
Sockeye_Lillooet/Harrison_Late(Birk),7.5290296052631565,11.201726973684211,9.73264802631579,3.6044117629411767,7.008578427941178,6.007352938235295,5.234558823529412,8.786580882352942,8.337904411764706,6.735882352941175,10.41,9.797647058823529,5.314705882352941,6.541176470588235,6.949999999999999,7.3125,11.456249999999999,10.48125,4.664843747812499,5.686666664,5.242395830875,9.797794117647058,9.319852941176471,9.797794117647058,5.605390625,6.676484375,6.9978125,7.15770832975,10.403645828125,8.9471354121875,4.7444444444444445,9.527777777777777,9.838888888888889,12.536512591125,17.01095920725,15.317925352500001,11.913922227999999,16.725313897,14.663288896,17.721520842666667,21.634064405333334,19.976987131733335
Sockeye_Pitt_ES,7.753472222222221,8.024843749999999,7.404565972222222,6.042395830375001,8.7231770790625,6.5104687468125,5.4425390625,7.46859375,6.753515625,6.115875,8.544875,7.72075,6.515624999999999,9.556249999999999,8.470312499999999,5.60625,9.01875,7.799999999999999,3.5985937483124997,5.6422395806875,5.375677080812499,10.514705882352942,12.665441176470589,11.231617647058824,6.855,9.318515625,8.890078125,6.969055552066667,9.987499995,8.655833329,5.476470588235293,10.705882352941176,9.923529411764704,11.488444014375,13.181477869125,13.181477869125,12.692909450599998,15.350630563,16.3587316746,18.037976572,18.901037652000003,18.901037652000003
Sockeye_Widgeon_River,6.9781249999999995,8.916493055555556,7.947309027777777,3.404166665,5.807107840294118,4.405392154705883,3.3650735294117644,6.543198529411765,5.982352941176471,3.6741176470588233,7.756470588235294,6.327647058823529,3.4749999999999996,5.723529411764705,5.927941176470588,3.1687499999999997,6.825,5.85,3.109895831875,5.1091145809375,4.975833331,7.408088235294118,9.319852941176471,9.319852941176471,4.065955882352942,5.208455882352942,5.242058823529412,4.244687497875,6.6583333300000005,5.2018229140625,3.788235294117647,5.970588235294117,5.5588235294117645,10.698835788000002,13.84778391,12.216401148000001,10.739713546875,14.8208046946875,12.6728619853125,15.230489647058825,17.870441185882356,17.058148404705886
